country,region,used_in_global_model,geo_level,sample,date started,date completed,result,N,unweighted positive,test,source
Afghanistan,Afghanistan,Yes,1,National sample,2020-07-15,2020-08-03,31.5,"9,500",,"Unknown (""survey which was done according to the WHO, Johns Hopkins University and USAID standards"")",http://www.afghanistantimes.af/afghanistan-has-10m-covid-19-infections-survey/
Australia,Australia,Yes,1,"individuals, providing blood samples at 10 hospital sites across 4 states in Australia in May and June 2020. These individuals were enrolled in a prospective cohort study to determine the prevalence of asymptomatic SARS-CoV-2 infection in individuals undergoing elective surgery in Australia",2020-06-02,2020-06-17,0.28,2991,,ELISA-based approach to that combines data about IgG responses to both the Nucleocapsid and Spike-receptor binding domain antigens,https://www.medrxiv.org/content/10.1101/2020.09.09.20191031v1
Belgium,Belgium,Yes,1,"serum bank covering all Belgian regions was constituted by collecting 120 residual sera from ten private diagnostic laboratories in Belgium. Large laboratories were engaged, 121 with high daily throughput covering primary care and all kinds of ambulatory specialist care outside 122 hospital. To avoid overrepresentation of subjects with acute and/or severe illness, samples collected in 123 hospitals were excluded",2020-06-29,2020-07-04,4.5,"3,023",,"Serology results were obtained 151 through a semi-quantitative test kit (EuroImmun, Luebeck, Germany), measuring IgG antibodies 152 against S1 proteins of SARS-CoV-2 in serum (ELISA).",https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2
Belgium,Belgium,Yes,1,"serum bank covering all Belgian regions was constituted by collecting 120 residual sera from ten private diagnostic laboratories in Belgium. Large laboratories were engaged, 121 with high daily throughput covering primary care and all kinds of ambulatory specialist care outside 122 hospital. To avoid overrepresentation of subjects with acute and/or severe illness, samples collected in 123 hospitals were excluded",2020-06-08,2020-06-13,5.5,"2,960",,"Serology results were obtained 151 through a semi-quantitative test kit (EuroImmun, Luebeck, Germany), measuring IgG antibodies 152 against S1 proteins of SARS-CoV-2 in serum (ELISA).",https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2
Belgium,Belgium,Yes,1,"serum bank covering all Belgian regions was constituted by collecting 120 residual sera from ten private diagnostic laboratories in Belgium. Large laboratories were engaged, 121 with high daily throughput covering primary care and all kinds of ambulatory specialist care outside 122 hospital. To avoid overrepresentation of subjects with acute and/or severe illness, samples collected in 123 hospitals were excluded",2020-04-18,2020-05-25,6.9,"3,242",,"Serology results were obtained 151 through a semi-quantitative test kit (EuroImmun, Luebeck, Germany), measuring IgG antibodies 152 against S1 proteins of SARS-CoV-2 in serum (ELISA).",https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2
Belgium,Belgium,Yes,1,"serum bank covering all Belgian regions was constituted by collecting 120 residual sera from ten private diagnostic laboratories in Belgium. Large laboratories were engaged, 121 with high daily throughput covering primary care and all kinds of ambulatory specialist care outside 122 hospital. To avoid overrepresentation of subjects with acute and/or severe illness, samples collected in 123 hospitals were excluded",2020-04-20,2020-04-26,6,"3,397",,"Serology results were obtained 151 through a semi-quantitative test kit (EuroImmun, Luebeck, Germany), measuring IgG antibodies 152 against S1 proteins of SARS-CoV-2 in serum (ELISA).",https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2
Belgium,Belgium,Yes,1,"serum bank covering all Belgian regions was constituted by collecting 120 residual sera from ten private diagnostic laboratories in Belgium. Large laboratories were engaged, 121 with high daily throughput covering primary care and all kinds of ambulatory specialist care outside 122 hospital. To avoid overrepresentation of subjects with acute and/or severe illness, samples collected in 123 hospitals were excluded",2020-03-30,2020-04-05,2.9,"3,910",,"Serology results were obtained 151 through a semi-quantitative test kit (EuroImmun, Luebeck, Germany), measuring IgG antibodies 152 against S1 proteins of SARS-CoV-2 in serum (ELISA).",https://www.medrxiv.org/content/10.1101/2020.06.08.20125179v2
Brazil,Brazil,Yes,1,random sample from 133 sentinel cities in 26 Brazilian 111 states and the Federal District (Figure 1),2020-05-14,2020-05-21,1.4,"25,025",,"WONDFO 459 SARS-CoV-2 Antibody Test (Wondfo Biotech Co., Guangzhou, China), using finger 460 prick blood samples",https://www.medrxiv.org/content/10.1101/2020.05.30.20117531v1.full.pdf
Brazil,Brazilian State of Rio Grande do Sul,FALSE,,random sample,2020-04-25,2020-04-27,0.1333,"4,500",,The Wondfo lateral flow rapid test for detecting antibodies against SARS-CoV-2,https://www.medrxiv.org/content/10.1101/2020.05.01.20087205v2.full.pdf
Brazil,Brazilian State of Rio Grande do Sul,FALSE,,random sample,2020-04-11,2020-04-13,0.0477,"4,188",,The Wondfo lateral flow rapid test for detecting antibodies against SARS-CoV-2,https://www.medrxiv.org/content/10.1101/2020.05.01.20087205v2.full.pdf
China,Guangzhou,FALSE,,"These visitors, including inpatients and their healthy companions, represented a population with a common social exposure and without COVID-19-related symptoms.",NA,2020-04-30,0.6,"8,782",,,https://www.nature.com/articles/s41422-020-0371-0
China,Wuhan,FALSE,,"hospital visitors inc. inpatients and their healthy companions, a population with a common social exposure and without COVID-19-related symptoms.",NA,2020-04-30,2.1,"8,272",,,https://www.nature.com/articles/s41422-020-0371-0
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-03-25,2020-04-28,2.72,"18,712",3.51,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-04-24,2020-04-28,2.23,"1,998",1.45,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-04-19,2020-04-23,1.56,"2,534",2.21,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
China,Wuhan,FALSE,,most of the analyzed medical records were based on examinees directed by their work units. Most of the examinees came from government-owned institutions and agencies instead of private businesses,2020-04-14,2020-04-18,2.18,"6,695",2.79,SARS-CoV-2 antibody detection kits (colloidal gold method) were provided by INNOVITA,https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v3.full.pdf
